레퍼런스 URL,계정명 / 채널명,조회수,주제,콘텐츠 결,최근/성과 기준,잘 먹힌 후킹,영상 방식,장면 구성,자막/폰트/배경,CTA 방식,대본 핵심,시리즈명,시리즈 운영 방식,GPT 프롬프트,프롬프트 예시 입력,제작 체크리스트
https://www.instagram.com/taebaek_saju/reel/DUSiA9ukpB-,@taebaek_saju 사주장인,"5,664,000",시기별 운세 | 2026년 재물운,띠별운세 + 재물/로또운세 + 전환형,"조회수 5,664,000 기준 상위권 / 시리즈 반복 가능",2026년␤💬 댓글에 ”본인 띠“만␤남겨주세요. 입춘부터␤천을귀인을 만나,세로 릴스 12~22초. 첫 화면은 날짜+띠+돈/로또 키워드 3줄. 배경은 실제 거리/하늘/풍경 영상 또는 단색 운세 카드. 2초마다 자막 1문장 전환.,1컷 후킹(0~2초) → 2~4컷 징조/행동 지침 → 마지막 컷 댓글 CTA,"굵은 고딕 42~58px, 흰색/노랑 강조, 검정 반투명 박스. 핵심 단어는 파란색 또는 빨간색 1개만 사용.",댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도,"💬 댓글에 ”본인 띠“만 남겨주세요.␤2026년 입춘부터 천을귀인을 만나␤재물 창고가 열리는 주인공에 대해 풀이하여,␤DM으로 은밀히 보내드리겠습니다.␤🙏␤—␤👇어떤 징조냐면👇␤1.␤갑자기 이유 없이 몸이 늘어지고 여기저기 아프다␤2.␤주변 사람들과 자꾸 마찰이 생기거나 인연이 정리된다␤3.␤오랫동안 고민하던 일을 때려치우고 싶은 충동이 강하게 든다␤4.␤잠이 쏟아지거나 반대로 잡생각에 밤을 지새운다␤5.␤환경을 바꾸고 싶어 이사나 이직 정보를 뒤지기 시작한다␤6.␤내 미래에 대해 극도의 불안감과 설렘이 동시에 교차한다␤7.␤물건을 버리거나 청소를 하며 주변을 비우고 싶어진다␤—␤이것은 낡은 운이 나가고 새 운이 오는 교운기입니다.␤2026년 병오년의 불기운이 당신을 지킬 천을귀인을 깨웁니다.␤지금의 아픔은 불운이 아니라 대운을 위한 영혼의…",띠별 재물/로또운,"매일 날짜형, 12지 띠별 로테이션, 주 1회 TOP 순위형으로 묶기","아래 제목을 기준으로 인스타 릴스용 사주 운세 대본을 만들어줘. 제목 문구는 첫 화면 썸네일 문구로 그대로 쓰고, 12~22초 분량으로 작성해. 구조는 1) 첫 문장 후킹 2) 왜 돈운/로또운이 열리는지 사주식 징조 2개 3) 오늘 해야 할 행동 2개 4) 댓글 CTA. 자막은 컷별로 나눠 쓰고, 과장된 확정 표현은 피하면서도 기대감 있게 작성해.",썸네일 문구=2026년 💬 댓글에 ”본인 띠“만 남겨주세요. 입춘부터 천을귀인을 만나 | 주제=시기별 운세 | 2026년 재물운 | CTA=댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/yuhwa.flow/reel/DO3JjjLgW2i,@yuhwa.flow 유화사주,"3,812,000",시기별 운세 | 2025년 쥐띠 소띠 호랑이띠 토끼띠 재물운,띠별운세 + 재물/로또운세 + 연애/재회운 + 비방/개운법 + 순위형 + 전환형,"조회수 3,812,000 기준 상위권 / 시리즈 반복 가능","👇 속 궁합 덕에, 절대␤헤어질 수 없는 궁합 👇",세로 릴스 12~22초. 첫 화면은 날짜+띠+돈/로또 키워드 3줄. 배경은 실제 거리/하늘/풍경 영상 또는 단색 운세 카드. 2초마다 자막 1문장 전환.,1컷 후킹(0~2초) → 2~4컷 징조/행동 지침 → 마지막 컷 댓글 CTA,"굵은 고딕 42~58px, 흰색/노랑 강조, 검정 반투명 박스. 핵심 단어는 파란색 또는 빨간색 1개만 사용.",댓글 유도 | 프로필 링크/상담 전환,"👇 속 궁합 덕에, 절대 헤어질 수 없는 궁합 👇␤속궁합이 잘 맞는다는 건,␤단순한 끌림을 넘어 몸과 마음의 흐름이 서로 교차하며␤에너지가 끊임없이 순환하는 관계라는 뜻이지요.␤특히 2025년 이후 흐름은 ‘진짜 내 사람’에 대한 갈망을 더욱 자극합니다.␤외로운 시대, 관계의 본질은 결국 안정과 몰입인데,␤이 조합들은 단순 연애가 아닌 삶 전체를 묶어내는 기반이 됩니다.␤💬 댓글에 ”당신 띠“만 남겨주시면,␤당신의 속궁합 비밀과␤평생 갈 인연의 사주적 힌트를 DM으로 전해드리겠습니다.␤–␤TOP.10␤1위.␤말띠/1990년생 + 개띠/1994년생␤2위.␤용띠/1988년생 + 원숭이띠/1992년생␤3위.␤돼지띠/1995년생 + 토끼띠/1999년생␤4위.␤소띠/1985년생 + 뱀띠/1989년생␤5위.␤용띠/2000년생 + 원숭이띠/2004년생…",띠별 재물/로또운,"매일 날짜형, 12지 띠별 로테이션, 주 1회 TOP 순위형으로 묶기","아래 제목을 기준으로 인스타 릴스용 사주 운세 대본을 만들어줘. 제목 문구는 첫 화면 썸네일 문구로 그대로 쓰고, 12~22초 분량으로 작성해. 구조는 1) 첫 문장 후킹 2) 왜 돈운/로또운이 열리는지 사주식 징조 2개 3) 오늘 해야 할 행동 2개 4) 댓글 CTA. 자막은 컷별로 나눠 쓰고, 과장된 확정 표현은 피하면서도 기대감 있게 작성해.","썸네일 문구=👇 속 궁합 덕에, 절대 헤어질 수 없는 궁합 👇 | 주제=시기별 운세 | 2025년 쥐띠 소띠 호랑이띠 토끼띠 재물운 | CTA=댓글 유도 | 프로필 링크/상담 전환 | 길이=20-45초 | 출력=대본만",1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/fate_mate_peek/reel/DKlfccNPBiH,@fate_mate_peek 궁궁해,"3,701,000",사주/운세 | 띠운세,띠별운세 + 순위형,"조회수 3,701,000 기준 상위권 / 시리즈 반복 가능",자식 덕분에 말년에 호강하는␤띠는?,12~25초 순위 카드형. 썸네일은 TOP10/TOP5 대형 텍스트. 화면은 고정 카드 또는 슬라이드 5~10장.,순위 제목 → 하위권 빠르게 → TOP3 강조 → 1위 반전 → 저장 CTA,"제목 54~64px, 순위 숫자 34~44px, 띠 이름은 아이콘+굵은 텍스트. 배경은 밝은 종이/카드 톤.",직접 CTA 없음 / 시청 지속 유도,자식 덕분에 말년에 호강하는 띠는?,띠별 운세/순위,"자식 덕 보는 띠, 말년에 호강하는 띠, 귀인 오는 띠, 2026년 대박띠","아래 주제로 인스타 릴스 순위형 대본을 만들어줘. 12지 띠를 활용하고 TOP10 또는 TOP5 형식으로 구성해. 각 순위는 짧은 이유 1문장만 붙이고, 1~3위는 조금 더 강하게 설명해. 썸네일 문구, 컷별 자막, 마지막 댓글 CTA까지 작성해.",썸네일 문구=자식 덕분에 말년에 호강하는 띠는? | 주제=사주/운세 | 띠운세 | CTA=직접 CTA 없음 / 시청 지속 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/fate_mate_peek/reel/DKmMKELvLVE,@fate_mate_peek 궁궁해,"2,771,000",사주/운세 | 연애/재회운,띠별운세 + 연애/재회운,"조회수 2,771,000 기준 상위권 / 시리즈 반복 가능",천생연분 부모자식 띠 궁합,20~35초. 감성 배경 또는 연인/거리/비 오는 창가 이미지. 첫 컷은 '절대 헤어질 수 없는 궁합 TOP'처럼 관계 후킹.,관계 후킹 → 띠/조건 공개 → 왜 끌리는지 → 주의점 → 댓글로 내 띠 유도,"흰색 굵은 고딕 38~52px, 검정/흰색 라운드 박스, 감정 단어만 빨강/분홍 강조.",직접 CTA 없음 / 시청 지속 유도,실제 대본 미수집␤공개 캡션/본문에 본문 대사가 없어 원본 영상 확인이 필요합니다.,띠별 연애/재회운,"띠별 찰떡궁합, 헤어진 뒤 연락 오는 띠, 6월 재회운 TOP, 월별 인연운","아래 썸네일 문구를 기준으로 인스타 릴스용 연애/재회운 대본을 만들어줘. 사주/띠/궁합 관점으로 풀되, 20~35초 안에 들어가게 컷별 자막을 작성해. 구조는 1) 강한 관계 후킹 2) 해당 띠/조건 3) 끌리는 이유 4) 조심할 포인트 5) 댓글 CTA. 마지막은 '내 띠 남기면 다음 편에 봐드릴게요' 식으로 끝내.",썸네일 문구=천생연분 부모자식 띠 궁합 | 주제=사주/운세 | 연애/재회운 | CTA=직접 CTA 없음 / 시청 지속 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/yuhwa.flow/reel/DWf8FL1k4cv,@yuhwa.flow␤유화사주 | 사주 • 연애 • 결혼 • 직업 • 재물 • 건강,"2,669,000",시기별 운세 | 2026년 쥐띠 양띠 원숭이띠 닭띠 재물운,띠별운세 + 재물/로또운세 + 전환형,"조회수 2,669,000 기준 상위권 / 시리즈 반복 가능","2026년␤💬 댓글에 ""본인 띠""만␤남겨주세요. 끊어내야만 하는␤것들에 대해",세로 릴스 12~22초. 첫 화면은 날짜+띠+돈/로또 키워드 3줄. 배경은 실제 거리/하늘/풍경 영상 또는 단색 운세 카드. 2초마다 자막 1문장 전환.,1컷 후킹(0~2초) → 2~4컷 징조/행동 지침 → 마지막 컷 댓글 CTA,"굵은 고딕 42~58px, 흰색/노랑 강조, 검정 반투명 박스. 핵심 단어는 파란색 또는 빨간색 1개만 사용.",댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도,"💬 댓글에 ""본인 띠""만 남겨주세요.␤2026년 끊어내야만 하는 것들에 대해␤풀이하여 은밀하게 보내드리겠습니다.␤🙏␤—␤이런 신호가 있었다면␤👇이미 착한 척이 복을 깎고 있는 겁니다👇␤1.␤올해 들어 남을 도와줬는데 돌아온 건 손해뿐이다␤2.␤양보했더니 오히려 내 자리가 사라졌다␤3.␤참고 배려했는데 상대는 고마운 줄도 모른다␤4.␤돈 빌려줬는데 연락이 끊겼다␤5.␤착하게 굴수록 이상하게 일이 꼬인다␤6.␤거절을 못해서 내 시간과 돈이 새고 있다␤7.␤남 눈치 보다가 올해 기회를 이미 하나 놓쳤다␤—␤👇해당 띠 확인하세요👇␤🐑🐶 양띠 개띠, 겨울 봄생␤(91, 03, 79, 94, 82년생)␤인성운이 들어오는 해.␤일해서 버는 게 아니라␤앉아서 받는 시기.␤당당하게 요구하고␤뻔뻔하게 받으십시오.␤괜한 동정심이 독입니다.␤🐵🐔 원숭이띠 닭띠,…",띠별 재물/로또운,"매일 날짜형, 12지 띠별 로테이션, 주 1회 TOP 순위형으로 묶기","아래 제목을 기준으로 인스타 릴스용 사주 운세 대본을 만들어줘. 제목 문구는 첫 화면 썸네일 문구로 그대로 쓰고, 12~22초 분량으로 작성해. 구조는 1) 첫 문장 후킹 2) 왜 돈운/로또운이 열리는지 사주식 징조 2개 3) 오늘 해야 할 행동 2개 4) 댓글 CTA. 자막은 컷별로 나눠 쓰고, 과장된 확정 표현은 피하면서도 기대감 있게 작성해.","썸네일 문구=2026년 💬 댓글에 ""본인 띠""만 남겨주세요. 끊어내야만 하는 것들에 대해 | 주제=시기별 운세 | 2026년 쥐띠 양띠 원숭이띠 닭띠 재물운 | CTA=댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도 | 길이=20-45초 | 출력=대본만",1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/fate_mate_peek/reel/DNxBlaQ4t1-,@fate_mate_peek␤궁궁해,"2,438,000",사주/운세 | 재물운,재물/로또운세,"조회수 2,438,000 기준 상위권 / 시리즈 반복 가능",돈이 술술 들어오는 타고난␤부자 손금 2탄,"15~25초. 돈 들어오는 징조, 숫자, 색상, 물건을 빠르게 보여주는 카드형. 배경은 지갑/현관/하늘/금색 카드.",돈운 후킹 → 징조 3개 → 금전 행동 2개 → 저장/댓글 CTA,"노랑/흰색 굵은 고딕, 검정 박스, 숫자는 아주 크게. 화면 전환은 줌인/컷 전환 위주.",직접 CTA 없음 / 시청 지속 유도,돈이 술술 들어오는 타고난 부자 손금 2탄,재물/로또운,"오늘 돈 들어오는 사람, 지갑에 넣으면 좋은 것, 로또 사기 좋은 날, 재물운 막는 행동","아래 문구를 첫 화면 썸네일로 쓰고, 재물운/로또운 릴스 대본을 만들어줘. 사주 운세처럼 들리되 실천 행동을 꼭 넣어. 구성은 후킹 1문장, 돈운 징조 3개, 오늘 피해야 할 행동 1개, 오늘 해야 할 행동 2개, 댓글 CTA로 작성해.",썸네일 문구=돈이 술술 들어오는 타고난 부자 손금 2탄 | 주제=사주/운세 | 재물운 | CTA=직접 CTA 없음 / 시청 지속 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/fate_mate_peek/reel/DMtdbqBzLU_,@fate_mate_peek␤궁궁해,"2,243,000",사주/운세 | 띠운세,띠별운세 + 순위형,"조회수 2,243,000 기준 상위권 / 시리즈 반복 가능",귀신도 피하는 정말 기가 센␤띠순위,12~25초 순위 카드형. 썸네일은 TOP10/TOP5 대형 텍스트. 화면은 고정 카드 또는 슬라이드 5~10장.,순위 제목 → 하위권 빠르게 → TOP3 강조 → 1위 반전 → 저장 CTA,"제목 54~64px, 순위 숫자 34~44px, 띠 이름은 아이콘+굵은 텍스트. 배경은 밝은 종이/카드 톤.",직접 CTA 없음 / 시청 지속 유도,귀신도 피하는 정말 기가 센 띠순위,띠별 운세/순위,"자식 덕 보는 띠, 말년에 호강하는 띠, 귀인 오는 띠, 2026년 대박띠","아래 주제로 인스타 릴스 순위형 대본을 만들어줘. 12지 띠를 활용하고 TOP10 또는 TOP5 형식으로 구성해. 각 순위는 짧은 이유 1문장만 붙이고, 1~3위는 조금 더 강하게 설명해. 썸네일 문구, 컷별 자막, 마지막 댓글 CTA까지 작성해.",썸네일 문구=귀신도 피하는 정말 기가 센 띠순위 | 주제=사주/운세 | 띠운세 | CTA=직접 CTA 없음 / 시청 지속 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/wise.saying77/reel/DQ5jRJuCgD3,@wise.saying77␤현인의 명언 | 풍수 운세 사주,"2,144,000",사주/운세 | 재물운,띠별운세 + 재물/로또운세,"조회수 2,144,000 기준 상위권 / 시리즈 반복 가능",대운은 인생의 큰 흐름을␤바꾸는 운의 주기를 말합니다.,세로 릴스 12~22초. 첫 화면은 날짜+띠+돈/로또 키워드 3줄. 배경은 실제 거리/하늘/풍경 영상 또는 단색 운세 카드. 2초마다 자막 1문장 전환.,1컷 후킹(0~2초) → 2~4컷 징조/행동 지침 → 마지막 컷 댓글 CTA,"굵은 고딕 42~58px, 흰색/노랑 강조, 검정 반투명 박스. 핵심 단어는 파란색 또는 빨간색 1개만 사용.",직접 CTA 없음 / 시청 지속 유도,"대운은 인생의 큰 흐름을 바꾸는 운의 주기를 말합니다.␤보통 10년 단위로 바뀌는 인생의 큰 기운을 의미하지요.␤대운이 바뀔 때는 인생의 환경, 기회, 인간관계, 재물의 흐름이 크게 변할 수 있습니다.␤26년에 대운의 흐름이 찾아오는 세띠는, 남은 을사년을 잘 보내시기 바랍니다.",띠별 재물/로또운,"매일 날짜형, 12지 띠별 로테이션, 주 1회 TOP 순위형으로 묶기","아래 제목을 기준으로 인스타 릴스용 사주 운세 대본을 만들어줘. 제목 문구는 첫 화면 썸네일 문구로 그대로 쓰고, 12~22초 분량으로 작성해. 구조는 1) 첫 문장 후킹 2) 왜 돈운/로또운이 열리는지 사주식 징조 2개 3) 오늘 해야 할 행동 2개 4) 댓글 CTA. 자막은 컷별로 나눠 쓰고, 과장된 확정 표현은 피하면서도 기대감 있게 작성해.",썸네일 문구=대운은 인생의 큰 흐름을 바꾸는 운의 주기를 말합니다. | 주제=사주/운세 | 재물운 | CTA=직접 CTA 없음 / 시청 지속 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
https://www.instagram.com/yuhwa.flow/reel/DOlCJrqEy8z,@yuhwa.flow␤유화사주 | 사주 • 연애 • 결혼 • 직업 • 재물 • 건강,"1,873,000",시기별 운세 | 2026년 소띠 토끼띠 말띠 개띠 재물운,띠별운세 + 재물/로또운세 + 경고형 + 전환형,"조회수 1,873,000 기준 상위권 / 시리즈 반복 가능",2026년␤👇 부터 평생 호강할 여자분들␤👇,세로 릴스 12~22초. 첫 화면은 날짜+띠+돈/로또 키워드 3줄. 배경은 실제 거리/하늘/풍경 영상 또는 단색 운세 카드. 2초마다 자막 1문장 전환.,1컷 후킹(0~2초) → 2~4컷 징조/행동 지침 → 마지막 컷 댓글 CTA,"굵은 고딕 42~58px, 흰색/노랑 강조, 검정 반투명 박스. 핵심 단어는 파란색 또는 빨간색 1개만 사용.",댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도,"👇 2026년부터 평생 호강할 여자분들 👇␤불(火)의 강한 흐름이 금(金)과 토(土)를 단련하고,␤수(水)와 목(木)의 기운까지 크게 확장되는 시기.␤이 여성분들은 결혼·가정·남편의 성취가␤모두 재물과 호강으로 이어집니다.␤💬 댓글에 ""본인 띠""만 남겨주시면,␤2026년 이후 당신이 어떻게 부와 호강을 누리게 될지␤DM으로 전해드립니다.␤–␤1.␤소띠인데, 경금·무토 일간인 여성␤2.␤돼지띠인데, 계수·을목 일간인 여성␤3.␤말띠인데, 병화·정화 일간인 여성␤4.␤토끼띠인데, 갑목·신금 일간인 여성␤5.␤개띠인데, 기토·임수 일간인 여성␤–␤1위.␤소띠인데, 경금·무토 일간인 여성␤경금·무토의 단단한 기반이 불(火)에 단련되며,␤남편의 성취와 집안의 재산 증식이 평생을 지탱합니다.␤※ [주의점] 시작의 기회를 놓치면 후반의 흐름이 약해질 수…",띠별 재물/로또운,"매일 날짜형, 12지 띠별 로테이션, 주 1회 TOP 순위형으로 묶기","아래 제목을 기준으로 인스타 릴스용 사주 운세 대본을 만들어줘. 제목 문구는 첫 화면 썸네일 문구로 그대로 쓰고, 12~22초 분량으로 작성해. 구조는 1) 첫 문장 후킹 2) 왜 돈운/로또운이 열리는지 사주식 징조 2개 3) 오늘 해야 할 행동 2개 4) 댓글 CTA. 자막은 컷별로 나눠 쓰고, 과장된 확정 표현은 피하면서도 기대감 있게 작성해.",썸네일 문구=2026년 👇 부터 평생 호강할 여자분들 👇 | 주제=시기별 운세 | 2026년 소띠 토끼띠 말띠 개띠 재물운 | CTA=댓글 유도 | 저장 유도 | 공유/태그 유도 | 프로필 링크/상담 전환 | 팔로우 유도 | 길이=20-45초 | 출력=대본만,1) 제목/썸네일 문구 확정␤2) GPT 프롬프트로 컷별 자막 생성␤3) 배경 이미지/영상 생성␤4) 음성 생성␤5) 립싱크 또는 자막형 선택␤6) 9:16 편집␤7) BGM -18~-24 LUFS␤8) 댓글 CTA 고정
