카테고리,세부 포맷,주제 텍스트,썸네일 문구 예시,추천 영상 길이,대본 글자수,캡션 글자수,CTA 방식,댓글 키워드,GPT 프로젝트명,GPT 프로젝트 프롬프트,사용자 입력 예시,출력 포맷 고정,장면 구성 규칙,금지/주의,우선순위,운영 메모
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,2026년 복삼재인데 오히려 터지는 띠 TOP3,"2026년 복삼재인데
오히려 터지는 띠
TOP3",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",2026년 복삼재인데 오히려 터지는 띠 TOP3,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,6월부터 귀인 붙는 띠 4개,"6월부터 귀인
붙는 띠 4개",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",6월부터 귀인 붙는 띠 4개,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,올여름 대운이 갈아타는 띠,"올여름 대운이
갈아타는 띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",올여름 대운이 갈아타는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,하반기 인생 주도권 되찾는 띠,"하반기 인생
주도권 되찾는 띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",하반기 인생 주도권 되찾는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,올해 조용히 있다가 큰 복 받는 띠,"올해 조용히
있다가 큰 복
받는 띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",올해 조용히 있다가 큰 복 받는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,이번 달 운명이 한 번 뒤집히는 띠,"이번 달
운명이 한 번
뒤집히는 띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",이번 달 운명이 한 번 뒤집히는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,말년보다 지금 운이 먼저 열리는 띠,"말년보다 지금
운이 먼저 열리는
띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",말년보다 지금 운이 먼저 열리는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 대운/삼재/귀인,띠별 + 반전 + 댓글 키워드,올해 삼재인데 돈보다 귀인이 먼저 오는 띠,"올해 삼재인데
돈보다 귀인이 먼저
오는 띠",25~35초,450~600자,"900~1,200자",댓글 키워드 + 저장 + 팔로우 + DM 전환,본인 띠 / 복삼재 / 귀인,띠별 운세 릴스 GPT,"너는 '띠별 운세 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 450~600자이고, 캡션 글자수는 900~1,200자이다. CTA 방식은 '댓글 키워드 + 저장 + 팔로우 + DM 전환'를 기본값으로 사용하고 댓글 키워드는 '본인 띠 / 복삼재 / 귀인' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",올해 삼재인데 돈보다 귀인이 먼저 오는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 450~600자
장면 구성: 6~8컷
캡션: 900~1,200자
CTA: 댓글 키워드 + 저장 + 팔로우 + DM 전환
DM 첫 응답: 180자 이내","1컷 강한 후킹, 2~4컷 해당 띠, 5컷 주의점, 6컷 댓글 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,메인 양산 카테고리. 날짜/띠/복/귀인만 바꿔 반복.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,이번 주 돈 들어오는 띠 TOP5,"이번 주
돈 들어오는 띠
TOP5",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",이번 주 돈 들어오는 띠 TOP5,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,월말 전에 입금운 터지는 띠,"월말 전에
입금운 터지는 띠",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",월말 전에 입금운 터지는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,7월 로또보다 계약운 좋은 띠,"7월 로또보다
계약운 좋은 띠",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",7월 로또보다 계약운 좋은 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,올여름 지갑이 두꺼워지는 띠,"올여름 지갑이
두꺼워지는 띠",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",올여름 지갑이 두꺼워지는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,돈 때문에 팔자 펴지는 띠 TOP3,"돈 때문에
팔자 펴지는 띠
TOP3",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",돈 때문에 팔자 펴지는 띠 TOP3,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,갑자기 현금 흐름 좋아지는 띠,"갑자기 현금
흐름 좋아지는 띠",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",갑자기 현금 흐름 좋아지는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
띠별 재물/로또/돈복,띠별 + 재물운 + 순위형,올해 빚보다 돈길이 먼저 열리는 띠,"올해 빚보다
돈길이 먼저 열리는
띠",25~35초,400~550자,"800~1,100자",댓글 키워드 + 저장 + 공유,돈복 / 재물 / 내 띠,띠별 재물운 릴스 GPT,"너는 '띠별 재물운 릴스 GPT'다. 사용자는 보통 주제 한 줄만 입력한다. 입력된 주제를 기준으로 인스타 릴스용 결과물을 만든다. 기본 대본 글자수는 400~550자이고, 캡션 글자수는 800~1,100자이다. CTA 방식은 '댓글 키워드 + 저장 + 공유'를 기본값으로 사용하고 댓글 키워드는 '돈복 / 재물 / 내 띠' 중 주제에 가장 맞는 1개를 고른다. 출력은 반드시 1) 썸네일 문구 3줄 2) 첫 2초 후킹 3) 릴스 대본 4) 장면 구성 6~8컷 5) 화면 자막 6) CTA 문구 7) 캡션 8) 자동 DM 첫 응답문 순서로 작성한다. 사주/운세 콘텐츠처럼 단정적이고 몰입감 있게 쓰되, 과도한 공포 조장이나 확정적 의학/투자 조언은 쓰지 않는다. 댓글 CTA는 자연스럽게 한 번, 마지막에 한 번 총 2회만 넣는다.",올해 빚보다 돈길이 먼저 열리는 띠,"썸네일 문구: 3줄, 줄당 8~14자
릴스 대본: 400~550자
장면 구성: 6~8컷
캡션: 800~1,100자
CTA: 댓글 키워드 + 저장 + 공유
DM 첫 응답: 180자 이내","1컷 돈복 후킹, 2~6컷 순위, 7컷 조심할 행동, 8컷 CTA","과도한 공포 조장 금지, 의학/투자 확정 조언 금지, 특정 개인 비방 금지",상,조회수용. 재물운은 반드시 띠/기간/반전과 묶기.
